slug,title,category,date,lang,draft,published,shown_on_blog
winter-peak-heating,한겨울 보온 진열대 운영 완전 가이드,guide,2026-12-28,ko,true,false,false
year-end-inventory-audit,연말 재고 정산 & 내년 준비,guide,2026-12-01,ko,true,false,false
halloween-seasonal-display,핼러윈 진열 & 포토존 만들기,guide,2026-10-05,ko,true,false,false
chuseok-gift-set-operations,추석 선물세트 운영 A to Z,guide,2026-09-01,ko,true,false,false
a-day-with-saai-agent-jp,店主の一日 — 08:00のブリーフィングから21:00の閉店まで、saai agentと過ごす一日,insight,2026-07-16,jp,false,true,true
a-day-with-saai-agent-ko,"점주의 하루 — 08:00 브리핑부터 21:00 마감까지, saai agent와 보내는 하루",insight,2026-07-16,ko,false,true,true
a-day-with-saai-agent,A store owner's day with saai agent — from the 08:00 briefing to the 21:00 close,insight,2026-07-16,en,false,true,true
capture-rate-explained-jp,流入率 — 立地の問題か、店舗の問題かを見分ける最初の数字,insight,2026-07-16,jp,false,true,true
capture-rate-explained-ko,"유입률 — 입지 문제인지, 매장 문제인지 가리는 첫 숫자",insight,2026-07-16,ko,false,true,true
capture-rate-explained,Capture rate — the first number that tells a location problem from a store problem,insight,2026-07-16,en,false,true,true
summer-cold-chain-management,여름 냉장 체인 완벽 관리 가이드,guide,2026-06-15,ko,true,false,false
loyalty-program-diy,우리 매장만의 단골 프로그램 만들기,guide,2026-05-15,ko,true,false,false
morning-rush-optimization,아침 출근길 매출 극대화: 7~9시 황금 시간대,insight,2026-05-10,ko,false,true,true
food-safety-spring,봄철 식품 안전 관리: 기온 상승기 필수 체크,guide,2026-05-08,ko,true,false,false
parents-day-prep,어버이날 편의점 매출 기회: 카네이션부터 선물세트까지,guide,2026-05-05,ko,true,false,false
2026-w19-weekly,5월 2주차: 초여름 전환 신호,weekly,2026-05-04,ko,false,true,false
family-month-spending,가정의 달 소비 패턴: 선물 수요 잡는 법,insight,2026-05-02,ko,false,true,true
2026-w18-weekly,5월 1주차: 어린이날 & 어버이날,weekly,2026-04-27,ko,false,true,false
peak-hour-staffing,피크타임 인력 배치: 알바 2명이 3명 효과 내는 법,guide,2026-04-22,ko,true,false,false
2026-w17-weekly,4월 4주차: 어린이날 사전 준비,weekly,2026-04-20,ko,false,true,false
delivery-order-pattern,배달 주문 패턴 분석: 매장 매출과 시너지 만들기,insight,2026-04-18,ko,false,true,true
rainy-april-strategy,봄비 시즌 대비: 4월 우중 매장 전략,guide,2026-04-15,ko,true,false,false
2026-w16-weekly,4월 3주차: 중간고사 시즌 돌입,weekly,2026-04-13,ko,false,true,false
discount-fatigue-analysis,1+1 행사 피로감 분석: 할인 효과가 줄어드는 시점,insight,2026-04-10,ko,false,true,true
expiry-management-tips,유통기한 관리의 기술: 폐기율 50% 줄이기,guide,2026-04-08,ko,true,false,false
2026-w15-weekly,4월 2주차: 선거일 공휴일 특수,weekly,2026-04-06,ko,false,true,false
april-picnic-guide,4월 나들이 시즌 매장 운영 가이드,guide,2026-04-05,ko,true,false,false
spring-beverage-trend,봄 음료 트렌드 분석: 카페형 음료 vs 건강 음료,insight,2026-04-03,ko,false,true,true
